,Class
33058,0
197208,1
20644,0
151602,1
51068,0
185618,1
95405,0
11954,0
118719,1
126088,1
148981,1
54314,1
84865,0
174000,1
121160,1
133097,1
53119,0
145755,1
166334,1
202060,1
188942,1
104053,0
105905,0
87783,0
162972,1
192096,1
145252,1
200942,1
73220,1
186187,1
68011,0
3472,0
69577,0
139303,1
69462,0
84101,1
43276,0
160837,1
77309,0
26353,0
49195,0
13687,0
80531,0
139256,1
83644,0
197747,1
209671,1
6067,0
82472,0
153800,1
10309,0
56281,0
139862,1
124589,1
133183,1
144816,1
29314,0
193677,1
138362,1
180320,1
132176,1
9917,0
84037,0
206541,1
118450,1
151192,1
206382,1
69537,0
170975,1
69701,0
191326,1
120291,1
54717,0
88982,0
39126,1
99649,0
155048,1
16948,0
177785,1
192429,1
174560,1
106345,0
145209,1
165791,1
131939,1
38902,0
192053,1
102361,1
38988,0
16749,0
42272,0
127836,1
168331,1
57139,0
173309,1
160507,1
36930,0
68795,0
133458,1
12136,0
137851,1
62638,0
44570,1
164061,1
124644,1
100376,0
94252,0
51675,0
5181,0
50484,0
98429,0
106259,0
29640,0
22718,0
180698,1
207591,1
192534,1
157697,1
179183,1
99844,0
112668,0
17417,0
108346,1
16594,0
166532,1
31616,1
194775,1
108701,0
125492,1
179757,1
115340,0
36577,1
8093,0
149357,1
91778,0
129916,1
122648,1
140686,1
127170,1
112310,0
37915,0
202640,1
84835,0
15794,0
210307,1
170928,1
30093,0
11401,0
116019,1
154388,1
103683,0
169520,1
203697,1
96400,0
82313,0
2392,0
148779,1
66357,0
157657,1
48326,1
185773,1
142144,1
74653,0
159220,1
25281,1
38556,0
208468,1
17411,0
33584,0
12294,0
200540,1
137318,1
137172,1
163218,1
42200,0
106281,0
200125,1
76302,0
159930,1
143098,1
151040,1
78530,0
70247,1
143242,1
52640,0
36314,0
112963,0
75581,1
2047,0
81246,0
12871,0
132722,1
86968,1
99513,0
12331,1
9516,0
30914,0
130235,1
203724,1
197447,1
153392,1
71955,0
72334,0
186551,1
21596,1
155297,1
146339,1
29393,0
62872,0
51443,0
42282,0
56853,0
86982,0
116369,0
4790,0
166341,1
127389,1
100482,0
30320,0
163417,1
123829,1
80363,0
170959,1
110178,0
172853,1
108506,0
6479,0
141340,1
169510,1
166596,1
204233,1
9023,0
205418,1
132073,1
119352,1
18413,0
61220,0
101443,0
161509,1
128994,1
22483,0
95715,0
58428,0
174704,1
183958,1
161979,1
166999,1
10418,0
152743,1
122541,1
179626,1
169012,1
61932,1
109857,0
130450,1
8008,0
196633,1
6119,0
107360,0
115378,0
23280,0
59501,0
57614,1
42337,0
32417,0
199421,1
155102,1
63860,0
59165,0
60558,1
104210,0
8978,0
49148,0
121197,1
154373,1
16426,0
122695,1
188211,1
93379,0
50649,0
111600,0
206458,1
91553,0
201999,1
121864,1
53559,1
71280,0
57129,0
12577,0
106720,0
126673,1
212815,1
108200,0
210628,1
10512,0
24146,0
102517,0
41320,0
117495,0
96882,0
44775,0
179161,1
18701,0
16733,0
62163,0
38204,0
64693,0
204302,1
94849,0
72134,0
9325,0
24439,0
147096,1
58597,0
74105,0
194658,1
191460,1
207108,1
203262,1
76052,1
369,0
36231,0
171017,1
166178,1
44574,0
9798,1
56345,0
100691,0
44914,0
165754,1
141054,1
181292,1
94291,0
88937,0
14545,0
79939,1
14361,0
29360,0
37134,0
47654,0
124593,1
157951,1
38330,0
17273,0
153539,1
99867,0
181277,1
115510,0
66350,0
3014,0
52297,0
192542,1
180054,1
24958,0
204488,1
148208,1
37183,0
26822,1
168703,1
7040,0
188941,1
194438,1
82367,0
128316,1
158039,1
110980,0
190042,1
142571,1
88875,0
92042,0
68512,0
100929,1
195364,1
54723,0
177049,1
4088,0
16013,0
92809,0
77724,0
11980,0
4816,0
205895,1
207041,1
178167,1
8031,0
56696,1
11265,0
61865,0
26483,0
6176,1
67123,0
208320,1
206874,1
63981,0
70715,0
110919,0
89002,0
146280,1
205824,1
12244,0
35443,1
119996,1
47690,0
58166,0
101957,0
95072,0
158914,1
182999,1
203203,1
84625,0
192413,1
65740,0
11088,0
58680,0
69584,0
8684,0
28137,0
183750,1
75666,0
126236,1
141441,1
210201,1
145705,1
109183,0
8318,0
169755,1
52844,0
87575,0
24195,0
83553,0
20847,1
104729,0
101182,0
149757,1
67634,1
14246,0
73384,0
178567,1
67896,1
126778,1
156116,1
59935,1
111293,0
176301,1
105365,0
821,0
9640,0
52291,0
184798,1
91308,0
149715,1
179389,1
193313,1
205423,1
137738,1
124017,1
164854,1
201064,1
58346,0
166635,1
159088,1
116672,1
97199,0
117923,1
182987,1
139575,1
627,1
173837,1
129155,1
42800,0
89774,0
1415,0
151507,1
35527,0
67308,0
134857,1
72001,0
76919,0
140969,1
62767,0
133250,1
39516,0
166358,1
197520,1
60831,1
127805,1
158526,1
142543,1
93764,0
1134,0
168552,1
34193,1
138305,1
134947,1
141941,1
135521,1
142874,1
181891,1
196469,1
90565,0
27630,0
25007,0
8317,0
47902,0
65099,0
45581,1
14851,0
115986,0
105497,0
16585,0
102928,0
103325,1
208413,1
204399,1
14312,0
136091,1
108347,0
62387,0
79508,0
198200,1
184918,1
5860,0
90201,0
33024,0
5180,0
97270,0
127963,1
136704,1
198217,1
13235,0
62266,0
50866,0
202741,1
124963,1
184682,1
65709,0
203404,1
51760,0
59462,0
153348,1
7487,0
30097,0
108362,0
85319,0
63715,0
47444,0
57411,0
123057,1
17864,0
111949,0
48370,0
6872,0
102628,0
22613,0
36875,0
97020,0
106949,0
196656,1
77792,0
85950,0
74817,0
65468,0
191635,1
55687,0
64780,0
154465,1
157939,1
58344,0
32736,0
40140,0
172127,1
150626,1
112867,0
141717,1
84257,0
204840,1
42343,0
119945,1
92367,0
141833,1
100043,0
65445,1
164640,1
54661,0
205605,1
367,0
27016,0
177873,1
110562,0
48801,0
19714,0
15318,0
34402,0
126089,1
158446,1
152433,1
86937,0
207868,1
68397,0
15780,0
147980,1
29701,0
106303,0
647,0
41078,0
54403,0
187744,1
27286,0
123924,1
148383,1
201140,1
178094,1
17144,0
500,0
203360,1
131246,1
128047,1
164068,1
57145,0
156,0
1013,0
84139,0
29451,0
158689,1
205948,1
177060,1
117748,1
199332,1
114276,0
117656,1
29318,0
109141,0
166309,1
179749,1
125641,1
145351,1
13901,0
100372,0
191534,1
140976,1
96142,0
32870,0
105552,0
166438,1
33631,0
100636,0
85700,0
167985,1
112089,0
196062,1
159310,1
53650,0
17443,0
128087,1
103052,0
191641,1
89141,0
177288,1
205543,1
41765,1
143778,1
168249,1
38376,0
95562,0
205981,1
87830,0
187030,1
37856,0
113788,0
208785,1
127050,1
31308,0
